sample_id,split,bucket,reasons,text,fg_fraction,skel_fraction,cc_count,dir_h_frac,stroke_width_mean,ruling_response_mean,ruling_response_p95,warning_count
school_notebooks_train_0228019,train,clean_core,,через,0.10537190082644628,0.03706095041322314,4.0,0.26557377049180325,2.7888632067866257,13.68440055847168,22.0,0.0
school_notebooks_train_0183298,train,clean_core,,шхуне,0.09503264925373134,0.04652518656716418,3.0,0.2702078521939954,2.186769195965611,11.636310577392578,26.0,0.0
school_notebooks_train_0220023,train,clean_core,,цыплячий,0.09375,0.03359375,3.0,0.34003350083752093,2.6391597096338977,6.543509483337402,26.0,0.0
school_notebooks_train_0134581,train,clean_core,,очень,0.11540948275862069,0.03728448275862069,1.0,0.1323943661971831,3.058242927066091,21.095149993896484,80.0,0.0
school_notebooks_train_0261512,train,clean_core,,"""война",0.06029929577464789,0.027618838028169015,10.0,0.2734375,2.2709535337751476,7.82053279876709,16.0,0.0
school_notebooks_train_0008688,train,clean_core,,медведь,0.166375,0.05725,1.0,0.2385496183206107,2.8992246864704185,15.751874923706055,66.0,0.0
school_notebooks_train_0064767,train,clean_core,,"дремота,",0.09276221264367816,0.03142959770114943,2.0,0.20887728459530025,2.7608171763948146,4.683907985687256,14.0,0.0
school_notebooks_train_0250272,train,clean_core,,но,0.09895833333333333,0.026041666666666668,1.0,0.11724137931034483,3.785186401809941,10.7459077835083,36.0,0.0
school_notebooks_train_0170049,train,clean_core,,землю.,0.08703859060402684,0.040373322147651006,6.0,0.19201995012468828,2.176125524287755,10.104446411132812,18.0,0.0
school_notebooks_train_0048040,train,clean_core,,беды,0.0974392361111111,0.046440972222222224,3.0,0.23170731707317074,2.2238627925773273,7.593533039093018,19.0,0.0
school_notebooks_train_0083537,train,clean_core,,здоровый,0.10671977124183006,0.04370915032679738,2.0,0.14081632653061224,2.43190176091827,16.465787887573242,37.0,0.0
school_notebooks_train_0060816,train,clean_core,,янтарным,0.08951271186440678,0.047139830508474576,7.0,0.2674616695059625,2.212129805978914,17.639476776123047,31.0,0.0
school_notebooks_train_0153390,train,hard_real,ruling_high,сорочьем,0.14299508426966293,0.055214185393258425,5.0,0.1565217391304348,2.4455927101609807,22.122716903686523,106.0,0.0
school_notebooks_train_0042720,train,hard_real,dir_h_high;ruling_high,искрился,0.14516295379537955,0.053372524752475246,6.0,0.5129348795718108,2.8547591356998354,27.902021408081055,103.0,0.0
school_notebooks_train_0184281,train,clean_core,,"мысли,",0.08857548701298701,0.03835227272727273,2.0,0.21975308641975308,2.26220592143609,17.02648162841797,32.0,0.0
school_notebooks_train_0020357,train,clean_core,,осенных,0.1604698905109489,0.038150091240875914,1.0,0.21478382147838215,4.137370828855553,9.937727928161621,32.0,0.0
school_notebooks_train_0257166,train,clean_core,,чудовищем,0.09015098314606741,0.03291783707865169,9.0,0.2325,2.6568820198340095,10.231039047241211,25.0,0.0
school_notebooks_train_0028287,train,clean_core,,ра,0.10205078125,0.036783854166666664,4.0,0.23481781376518218,2.8416644410987715,10.909342765808105,36.0,0.0
school_notebooks_train_0202963,train,clean_core,,опас-,0.11490519662921349,0.02519311797752809,2.0,0.3651877133105802,4.306672648502297,5.588746547698975,20.0,0.0
school_notebooks_train_0239528,train,clean_core,,снежной,0.1173780487804878,0.03576872822299652,6.0,0.239067055393586,3.249582349758233,14.427864074707031,46.0,0.0
school_notebooks_train_0055351,train,clean_core,,водой,0.09064569536423842,0.033319536423841056,2.0,0.2768361581920904,2.6896563708423655,7.400662422180176,22.0,0.0
school_notebooks_train_0196304,train,clean_core,,смолистого.,0.14149305555555555,0.039713541666666664,8.0,0.17063492063492064,3.3252312143041953,20.39404296875,69.0,0.0
school_notebooks_train_0020947,train,clean_core,,среди,0.1451655982905983,0.04620726495726496,1.0,0.21818181818181817,3.066855412969426,14.724225044250488,39.0,0.0
school_notebooks_train_0214296,train,clean_core,,мы,0.09919084821428571,0.024693080357142856,1.0,0.22872340425531915,4.0629897988696095,7.763113975524902,25.0,0.0
school_notebooks_train_0006341,train,hard_real,fg_high;cc_high,плат,0.18352440828402367,0.03707470414201183,14.0,0.3075060532687651,4.659152008240488,8.348372459411621,41.0,0.0
school_notebooks_train_0242006,train,clean_core,,на,0.10546875,0.03015625,2.0,0.24519230769230768,3.524893431307664,13.895312309265137,40.0,0.0
school_notebooks_train_0048061,train,clean_core,,"послушный,",0.08383861940298508,0.03474813432835821,5.0,0.24629080118694363,2.52793801966765,3.9766790866851807,18.0,0.0
school_notebooks_train_0103087,train,hard_real,ruling_high,головкои,0.11926708633093525,0.041423111510791366,5.0,0.20614596670934698,2.8539423725094135,23.150461196899414,59.0,0.0
school_notebooks_train_0209806,train,clean_core,,тайны,0.08462918660287082,0.02930622009569378,5.0,0.415,2.6642855405767465,9.235421180725098,43.0,0.0
school_notebooks_train_0035444,train,hard_real,skel_low;stroke_width_high,2.,0.08822408536585366,0.011432926829268292,2.0,0.28125,5.999442055235252,9.575648307800293,52.0,0.0
school_notebooks_train_0059091,train,clean_core,,обычно,0.10270979020979021,0.04130244755244755,3.0,0.23076923076923078,2.5178622664871764,8.609156608581543,25.0,0.0
school_notebooks_train_0253001,train,clean_core,,собакой,0.17320793838862558,0.06309241706161138,3.0,0.4357066950053135,2.9690699036363544,13.309612274169922,30.0,0.0
school_notebooks_train_0035301,train,clean_core,,потрогать,0.11916977611940298,0.03342661691542288,7.0,0.34557235421166305,3.583791308289503,12.356809616088867,57.0,0.0
school_notebooks_train_0255731,train,clean_core,,сюжет.,0.12536337209302326,0.025345203488372093,4.0,0.3129251700680272,4.73457910024544,15.363463401794434,36.0,0.0
school_notebooks_train_0055022,train,hard_real,stroke_width_high,песня.,0.15230855855855857,0.023085585585585586,3.0,0.3323529411764706,6.279380965738918,11.375,46.0,0.0
school_notebooks_train_0155472,train,clean_core,,бы,0.0977328431372549,0.03400735294117647,3.0,0.1810344827586207,2.7143851769195395,16.874387741088867,53.0,0.0
school_notebooks_train_0263934,train,clean_core,,глагол,0.1404422514619883,0.03170687134502924,4.0,0.28133704735376047,4.214263419332231,15.383498191833496,47.0,0.0
school_notebooks_train_0256328,train,clean_core,,отряд,0.09150502873563218,0.03807471264367816,1.0,0.19469026548672566,2.3947448554524193,13.662625312805176,34.0,0.0
school_notebooks_train_0089296,train,clean_core,,на,0.06902825342465753,0.020333904109589043,1.0,0.30392156862745096,3.3842145576321063,7.465218544006348,28.0,0.0
school_notebooks_train_0249609,train,clean_core,,увидела,0.10433467741935484,0.047631048387096774,1.0,0.19951923076923078,2.2409426091692155,7.91330623626709,32.0,0.0
school_notebooks_train_0069111,train,clean_core,,тесте,0.1619971264367816,0.05944683908045977,3.0,0.3797909407665505,3.04144336905598,16.58303451538086,42.0,0.0
school_notebooks_train_0101760,train,clean_core,,"здесь,",0.13273809523809524,0.03764880952380952,2.0,0.1412639405204461,3.3843958997114867,5.964434623718262,20.0,0.0
school_notebooks_train_0139366,train,clean_core,,будет,0.1135643115942029,0.030683876811594204,4.0,0.38162544169611307,3.7769473654987586,12.861186981201172,26.0,0.0
school_notebooks_train_0132196,train,hard_real,fg_high,стала,0.18538259345794392,0.03891647196261682,2.0,0.31338028169014087,4.337405909885977,16.335865020751953,50.0,0.0
school_notebooks_train_0023245,train,clean_core,,"дрожжи,",0.0962859947643979,0.029613874345549736,11.0,0.32891246684350134,3.380464504625973,16.345876693725586,29.0,0.0
school_notebooks_train_0236398,train,clean_core,,(за),0.1633357558139535,0.046511627906976744,2.0,0.19850187265917604,3.2786935479291515,17.304868698120117,79.0,0.0
school_notebooks_train_0226104,train,clean_core,,едит,0.1346849173553719,0.04067665289256198,2.0,0.19287833827893175,3.1817456739159486,14.558109283447266,38.0,0.0
school_notebooks_train_0007301,train,clean_core,,он,0.11477623456790123,0.042631172839506175,2.0,0.2077922077922078,2.6994276527771466,11.53993034362793,32.0,0.0
school_notebooks_train_0227160,train,clean_core,,разбивать,0.1108695652173913,0.03736413043478261,2.0,0.22712418300653595,2.8431088224725585,12.273844718933105,41.0,0.0
school_notebooks_train_0086789,train,clean_core,,общения,0.1276595744680851,0.024268617021276594,9.0,0.23548387096774193,4.554862650551406,4.073637008666992,14.0,0.0
school_notebooks_train_0003679,train,clean_core,,словарный,0.07679372197309417,0.034753363228699555,2.0,0.20614828209764918,2.325958726218985,18.338775634765625,59.0,0.0
school_notebooks_train_0189316,train,clean_core,,на,0.14192708333333334,0.03919270833333333,3.0,0.24260355029585798,3.7934343718555743,19.540494918823242,101.0,0.0
school_notebooks_train_0132439,train,clean_core,,зелёную,0.09997234513274336,0.03885508849557522,2.0,0.26875,2.4425063547371586,16.563743591308594,69.0,0.0
school_notebooks_train_0148859,train,hard_real,ruling_high,ещё,0.14263392857142856,0.059821428571428574,1.0,0.15719063545150502,2.397197348014903,23.14866065979004,64.0,0.0
school_notebooks_train_0221714,train,clean_core,,цепляется,0.08293635670731707,0.027534298780487805,1.0,0.4166666666666667,2.842150324351164,4.722751617431641,15.0,0.0
school_notebooks_train_0237555,train,clean_core,,можно,0.1011679292929293,0.030776515151515152,1.0,0.17857142857142858,3.281233183507529,7.675031661987305,28.0,0.0
